username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
johnnymnemonics,kFGDfi9mwizyd6zNquT6,750K,6,750000,19,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnnymnemonics_m6-750k_1780700301675.png?alt=media&token=48db90f5-f670-491c-9e70-fc325932a35a,2026-06-05T22:58:20.390Z
mori2323,OyGQeDe0nYadbnOXNNT1,500K,5,500000,31,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmori2323_m5-500k_1780702697127.png?alt=media&token=7c164553-5f23-4637-b68f-c0c42e03155c,2026-06-05T23:38:15.931Z
puphik,pTQS6lryh4Hnd0a4CcS2,200K,2,200000,51,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fpuphik_m2-200k_1780822744766.png?alt=media&token=96adcc4f-e342-4e60-820f-f207d70e1dd2,2026-06-07T08:59:03.673Z
alexwifi42,uFLmOsejB58DFMRMaIw4,200k,1,200000,35,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falexwifi42_spent-200k_1780830405179.png?alt=media&token=eaca7613-9b8b-471d-8989-439cccaf59ab,2026-06-07T11:06:43.987Z
alburldador,DTTGj5T8I2VwbUBFsCbl,750K,6,750000,20,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falburldador_m6-750k_1781025398709.png?alt=media&token=70bfd4ae-9a46-491b-bbde-e6a690aed9cd,2026-06-09T17:16:37.490Z
smogracing,v4Xl6T7TxZTUuBsU6pOc,750K,6,750000,21,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsmogracing_m6-750k_1781180466221.png?alt=media&token=fad9432b-be41-404e-9bda-7168e2174269,2026-06-11T12:21:04.961Z
cerebralx1,A1yjw4qjhzYSKPPG4R6f,800k,3,800000,14,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcerebralx1_spent-800k_1781207199561.png?alt=media&token=415977dc-38c3-4104-93ba-7853a013419d,2026-06-11T19:46:38.300Z
100bitlive,vJlCh1g56Pr6AxtK7uTc,200k,1,200000,36,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2F100bitlive_spent-200k_1781283433931.png?alt=media&token=0b67c2b9-e6cd-4d0c-8a84-a2a30250f767,2026-06-12T16:57:12.436Z
ikaliayev,6KaHgF5g1eN3PN9cAXsE,750K,6,750000,22,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fikaliayev_m6-750k_1781437347514.png?alt=media&token=feb38d42-e7cd-4980-bb43-c37527c86c93,2026-06-14T11:42:26.419Z
alfims,StPHilE3bXPQPcenNmDr,1600k,4,1600000,2,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falfims_spent-1600k_1781440835564.png?alt=media&token=f47b007a-a139-40a7-a90c-59d3112ae06d,2026-06-14T12:40:34.358Z
xiaoxiao9313,vRfHt7Ig11FPJECLeXbm,200K,2,200000,52,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fxiaoxiao9313_m2-200k_1781446643961.png?alt=media&token=4ab36b81-9d20-4d61-8a30-7bda143078a0,2026-06-14T14:17:22.604Z
