steamAppId,gameName,cost,quantity,enabled,createdAt,firstSeen,lastSeen
2376951,[DLC] Turbo Golf Racing: Space Explorers Galactic,120596,1,true,2026-02-13T18:43:21.605Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1272840,[EU ONLY] Dordogne,70456,2,true,2026-03-15T09:31:52.051Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1793170,[EU ONLY] Racine,25568,2,true,2026-03-15T09:32:56.462Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
924970,[US/CA ONLY!] Back 4 Blood,25421,2,true,2026-03-17T14:55:23.220Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1486920,[US/CA ONLY] Tempest Rising,545216,0,false,2026-03-26T19:52:48.738Z,2026-04-01T04:00:14.014Z,2026-04-03T04:00:14.664Z
2525380,[US/CA ONLY] Tomb Raider IV-VI Remastered,34568,1,true,2026-03-15T09:36:52.481Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1356140,112 Operator - Call Editor,32000,1,true,2025-10-31T06:43:48.440Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
366760,Adorables,43520,1,true,2026-01-06T17:21:00.550Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
2096080,Agent in Depth,34240,1,true,2026-01-06T17:20:07.064Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1428780,Animal Rescuer,52416,0,false,2026-04-11T15:37:07.190Z,2026-04-11T16:00:30.285Z,2026-04-12T17:00:26.193Z
1587540,Anvil Saga,76608,0,false,2026-04-11T15:38:48.060Z,2026-04-11T16:00:30.285Z,2026-04-12T17:00:26.193Z
468100,AquaMoto + SnowMoto Racing Utopia,42732,0,false,2026-01-31T13:00:17.499Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1671720,Athenian Rhapsody,157824,0,false,2026-03-29T12:29:17.711Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
2509120,AtmaSphere 2,61056,0,false,2026-04-05T12:13:06.932Z,2026-04-05T13:00:14.548Z,2026-04-12T17:00:26.193Z
207020,Bang Bang Racing,66256,3,true,2025-10-31T05:46:16.006Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
1228870,Bartlow's Dread Machine,25420,0,false,2026-01-13T23:30:58.135Z,2026-04-01T04:00:14.014Z,2026-04-03T04:00:14.664Z
49600,Beat Hazard,53124,1,true,2025-11-07T14:48:04.630Z,2026-04-01T04:00:14.014Z,2026-04-12T17:00:26.193Z
