timestamp,steamid,username,cost,hadAtPurchase,activated,playtimeMinutes,gamename
2026-09-01T07:32:13.110Z,748050,sassdrake,25449,0,1,0,Initiation
2026-09-02T15:23:48.831Z,1231990,4gazmin4,126209,0,1,0,[NOT GLOBAL] Gestalt: Steam & Cinder
2026-09-02T19:23:26.609Z,1605250,alexwifi42,326144,0,1,830,Moros Protocol
2026-09-03T21:19:52.391Z,323190,pika_gamy,198720,0,0,,Frostpunk: Game of the Year Edition
2026-09-04T02:41:40.273Z,241600,thanossoul,79360,0,1,0,Rogue Legacy
2026-09-04T22:20:24.726Z,GIFT_CARD,llucholba,320420,,,,Steam Wallet Funds (5CAD)
2026-09-06T04:50:08.697Z,1167140,slay_da_b,69056,0,0,,Siege Survival: Gloria Victis
2026-09-06T12:17:21.964Z,1918450,lillakra,132480,0,1,0,HunterX
2026-09-07T05:03:25.994Z,GIFT_CARD,alfims,320420,,,,Steam Wallet Funds (5CAD)
2026-09-07T05:29:16.873Z,1577120,ragnar175,260352,0,1,0,The Quarry
2026-09-10T18:24:26.756Z,1214670,alburldador,47680,0,1,0,Mr. Sun's Hatbox
2026-09-11T21:28:31.988Z,1851280,thanossoul,77120,0,1,0,Samurai Bringer
2026-09-11T21:48:52.890Z,656350,ikaliayev,136576,0,1,318,UnderMine
2026-09-12T04:28:28.711Z,473950,dahhel,133632,0,1,717,Manifold Garden
2026-09-12T07:59:20.225Z,209790,alburldador,30720,0,1,511,Splice
2026-09-12T09:46:49.469Z,1522870,silent_luc,146304,0,1,0,Supraland Six Inches Under
2026-09-12T11:08:48.742Z,1452500,pika_gamy,89089,0,1,0,The Good Life
2026-09-13T18:17:58.126Z,985890,ura3535,139840,0,0,,Streets of Rage 4
2026-09-14T07:40:06.427Z,210170,slay_da_b,34241,0,1,349,Spirits
2026-09-14T08:56:53.940Z,1358530,thanossoul,54720,0,1,0,Saint Kotar
2026-09-14T09:47:49.620Z,539470,robin3one,68353,0,1,0,Police Stories
2026-09-14T11:39:59.011Z,449610,ivanpetrov32,280960,0,1,0,Monster Boy and the Cursed Kingdom
2026-09-14T15:30:58.768Z,1933840,alfims,31361,0,1,760,Moon Mystery
2026-09-14T16:33:13.578Z,1352930,silent_luc,184896,0,1,0,HAAK
2026-09-14T16:40:40.562Z,2206270,pika_gamy,235552,0,0,,Vampire Hunters
2026-09-14T16:44:50.002Z,1708320,dahhel,39680,0,1,0,GRAPPIN
2026-09-14T16:53:41.364Z,547360,shadowladyex,29544,0,1,0,BREAK ARTS II
2026-09-14T17:01:59.881Z,1220010,mori2323,89537,0,1,342,Home Behind 2
2026-09-14T17:49:06.719Z,1196090,lmbs00,70080,0,0,,Scars Above
2026-09-14T17:50:32.231Z,669330,madagascaradam,361536,0,1,0,Mechabellum
2026-09-14T19:40:09.423Z,210170,alburldador,34241,0,1,0,Spirits
2026-09-14T19:51:11.758Z,1196090,lmbs00,70080,0,0,,Scars Above
2026-09-15T16:46:17.294Z,1433860,puphik,30402,0,1,0,The Amazing American Circus
2026-09-16T03:17:04.991Z,1046030,avin_novor,89856,0,1,0,ISLANDERS
2026-09-16T04:05:09.286Z,1046400,naoka_ueno,59328,0,1,251,Astalon: Tears of the Earth
2026-09-16T10:00:21.100Z,1608640,shadowladyex,43776,0,1,545,OTXO
2026-09-17T17:35:42.688Z,GIFT_CARD,johnnymnemonics,320420,,,,Steam Wallet Funds (5CAD)
2026-09-19T09:42:34.591Z,2187290,slay_da_b,32258,0,1,152,Wall World
2026-09-19T13:09:13.048Z,269190,cerebralx1,124992,0,1,173,Edge Of Eternity
2026-09-21T04:40:02.440Z,2800840,avin_novor,45120,0,1,0,Gunbot Diplomacy
2026-09-21T06:41:34.791Z,1337520,alburldador,56080,0,1,0,Risk of Rain Returns
2026-09-21T15:49:57.361Z,1390350,thanossoul,64384,0,1,0,Webbed
2026-09-22T01:23:43.251Z,917950,alexwifi42,111712,0,1,135,Vellum
2026-09-23T06:23:17.096Z,2002220,ikaliayev,171777,0,,,Keeper's Toll
