timestamp,username,score
2026-03-10 04:19:55,valase,101
2026-03-23 02:16:01,pika_gamy,91
2026-03-21 14:19:33,snoopys030,75
2026-05-05 10:32:35,shadowladyex,65
2026-04-13 20:20:44,ragnar175,58
2026-04-04 21:58:32,alburldador,55
2026-05-21 04:29:53,dahhel,53
2026-04-06 02:09:47,silent_luc,52
2026-03-09 19:32:21,ivanpetrov32,49
2026-03-10 03:48:06,avin_novor,45
2026-03-29 16:42:53,wolfmaron999,44
2026-05-05 19:08:26,naoka_ueno,44
2026-05-20 19:31:59,mori2323,34
2026-05-21 11:05:28,ikaliayev,34
2026-03-12 21:14:04,chestersz,31
2026-03-21 12:20:23,smogracing,31
2026-03-06 16:30:15,rzvlover,29
2026-03-03 21:32:38,lillakra,27
2026-03-13 22:27:08,madagascaradam,27
2026-03-04 00:25:47,cerebralx1,26
2026-03-12 03:15:35,darkgammeth,25
2026-03-08 08:57:24,alphonsoe,21
2026-02-28 18:26:08,alfims,21
2026-05-15 12:32:35,whitepai,21
2026-04-17 15:59:44,slay_da_b,20
2026-04-07 18:16:41,thanossoul,19
2026-03-17 16:46:21,johnnymnemonics,19
2026-04-17 15:16:25,yurigiu,18
2026-03-03 15:35:42,rafsongames,18
2026-03-17 10:28:42,lord_marten,18
2026-03-07 12:07:19,irblacky,17
2026-03-09 15:49:53,foreeeveeer,16
2026-03-30 15:20:27,robin3one,16
2026-03-02 15:58:06,giggadigga69,15
2026-04-21 06:35:17,llucholba,14
2026-03-31 03:41:10,aswd002,13
2026-03-02 14:42:57,exine4595,13
2026-03-09 03:56:00,somemarblesfriday,11
2026-03-15 15:49:37,operacional_cae,10
2026-05-24 18:10:08,sasha5889,10
2026-04-25 08:57:32,alexwifi42,10
2026-04-16 20:35:32,calypso_ba,9
2026-03-04 12:09:16,xiaoxiao9313,9
2026-03-28 07:09:51,darkranx,9
2026-05-09 10:25:19,alexandr7889,9
2026-02-27 04:15:32,player0451,7
2026-04-28 07:08:41,meowmew01,7
2026-04-30 11:16:28,leonardo90pl,6
2026-02-28 20:26:06,valentin_tver,6
2026-03-11 02:01:05,louis_of_apshai,6
2026-04-10 17:23:12,viktor123545,5
2026-03-05 08:13:09,absullahqazi,5
2026-04-26 05:50:53,puphik,4
2026-03-04 16:22:21,aspio9,3
2026-03-07 11:44:43,neoncryptog,3
2026-04-27 23:48:17,alyssrentori,3
2026-04-21 06:02:24,ura3535,3
2026-04-11 16:43:53,sassdrake,3
2026-03-05 18:08:03,100bitlive,2
2026-03-10 09:58:16,sirhunterr,2
2026-03-11 22:04:35,jaxjaxus,2
2026-04-11 14:16:27,klon302,2
2026-05-21 12:20:18,4gazmin4,2
2026-02-26 02:17:13,zoskycube,1
2026-03-12 20:22:42,jaappt,1
2026-03-12 21:06:47,skillfielder,1
2026-03-22 14:11:56,kexo111,1
2026-04-04 01:33:31,doubledwonders,1
