username,amount,reason,timestamp,date
lmbs00,90,Phase 3: CPU,1785556954147,2026-08-01
xiaoxiao9313,90,Phase 3: CPU,1785556954155,2026-08-01
alburldador,90,Phase 3: CPU,1785556954162,2026-08-01
avin_novor,90,Phase 3: CPU,1785556954179,2026-08-01
shadowladyex,90,Phase 3: CPU,1785556954186,2026-08-01
ikaliayev,90,Phase 3: CPU,1785556954189,2026-08-01
snoopys030,90,Phase 3: CPU,1785556954211,2026-08-01
valase,90,Phase 3: CPU,1785556954224,2026-08-01
dahhel,90,Phase 3: CPU,1785556954546,2026-08-01
alfims,45,Phase 1: CPU,1785558554742,2026-08-01
ikaliayev,45,Phase 1: CPU,1785558554755,2026-08-01
xiaoxiao9313,45,Phase 1: CPU,1785558554767,2026-08-01
lmbs00,45,Phase 1: CPU,1785558554780,2026-08-01
valase,45,Phase 1: CPU,1785558554783,2026-08-01
dahhel,45,Phase 1: CPU,1785558554788,2026-08-01
slay_da_b,45,Phase 1: CPU,1785558554793,2026-08-01
snoopys030,45,Phase 1: CPU,1785558554795,2026-08-01
llucholba,45,Phase 1: CPU,1785558554798,2026-08-01
shadowladyex,45,Phase 1: CPU,1785558554803,2026-08-01
alburldador,45,Phase 1: CPU,1785558554810,2026-08-01
valase,65,Phase 2: GPU,1785558959802,2026-08-01
ikaliayev,65,Phase 2: GPU,1785558959828,2026-08-01
dahhel,65,Phase 2: GPU,1785558959847,2026-08-01
alburldador,65,Phase 2: GPU,1785558959871,2026-08-01
lmbs00,65,Phase 2: GPU,1785558959874,2026-08-01
ikaliayev,90,Phase 3: HDD,1785559606769,2026-08-01
dahhel,90,Phase 3: HDD,1785559606780,2026-08-01
lmbs00,90,Phase 3: HDD,1785559606783,2026-08-01
snoopys030,90,Phase 3: HDD,1785559606795,2026-08-01
shadowladyex,90,Phase 3: HDD,1785559606798,2026-08-01
slay_da_b,90,Phase 3: HDD,1785559606803,2026-08-01
ragnar175,90,Phase 3: HDD,1785559606806,2026-08-01
alburldador,90,Phase 3: HDD,1785559606810,2026-08-01
valase,90,Phase 3: HDD,1785559606815,2026-08-01
avin_novor,90,Phase 3: HDD,1785559606829,2026-08-01
madagascaradam,90,Phase 3: HDD,1785559606838,2026-08-01
