timestamp,steamid,username,cost,hadAtPurchase,activated,playtimeMinutes,gamename
2026-07-01T14:47:17.130Z,1220010,madagascaradam,99072,0,1,0,Home Behind 2
2026-07-02T14:24:24.463Z,2521380,shadowladyex,99072,0,0,,Legacy of Kain™ Soul Reaver 1&2 Remastered
2026-07-02T14:37:04.564Z,2521380,shadowladyex,99072,0,0,,Legacy of Kain™ Soul Reaver 1&2 Remastered
2026-07-03T02:56:46.292Z,1396980,ikaliayev,45568,0,1,0,The Sealed Ampoule
2026-07-04T05:04:42.550Z,2951580,alfims,105280,0,1,803,Rhythm Witch: Beat Death
2026-07-05T09:47:29.510Z,1619230,mori2323,96768,0,1,275,The Star Named EOS
2026-07-06T04:48:33.573Z,259830,xiaoxiao9313,26624,0,1,0,Wooden Sen'SeY
2026-07-07T00:15:44.549Z,1935470,ikaliayev,40960,0,1,0,The Tales of Bayun
2026-07-07T09:42:32.659Z,2137880,ivanpetrov32,119105,0,,,Ink Inside
2026-07-08T06:37:54.676Z,1497430,ivanpetrov32,148192,0,,,Bounty Star
